product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Básico Producto 1,Descripción detallada del producto 1,1,3,1,286.35,157.49,49.3,true,2023-12-09,2026-01-24
2,SKU-000002,Ultra Pack 2,Descripción detallada del producto 2,8,10,7,244.85,129.77,9.1,true,2023-08-24,2025-06-16
3,SKU-000003,Max Artículo 3,Descripción detallada del producto 3,9,14,3,326.31,195.79,4.1,true,2023-06-15,2025-09-04
4,SKU-000004,Super Dispositivo 4,Descripción detallada del producto 4,9,1,2,441.08,242.59,39.2,true,2023-06-17,2025-09-19
5,SKU-000005,Smart Dispositivo 5,Descripción detallada del producto 5,7,10,6,90.54,61.57,25.8,true,2023-01-19,2025-09-02
6,SKU-000006,Super Widget 6,Descripción detallada del producto 6,1,3,2,30.35,13.05,21.7,true,2022-11-08,2024-01-27
7,SKU-000007,Ultra Artículo 7,Descripción detallada del producto 7,7,2,7,181.33,123.3,37.7,true,2023-01-09,2024-02-26
8,SKU-000008,Smart Set 8,Descripción detallada del producto 8,6,9,4,157.69,93.04,38.9,true,2023-01-09,2024-06-23
9,SKU-000009,Básico Equipo 9,Descripción detallada del producto 9,4,3,3,191.86,126.63,1.3,true,2022-07-13,2026-01-05
10,SKU-000010,Elite Herramienta 10,Descripción detallada del producto 10,3,1,1,160.25,83.33,25.7,true,2023-08-25,2025-06-18
11,SKU-000011,Mini Dispositivo 11,Descripción detallada del producto 11,7,6,4,390.02,237.91,11.1,true,2022-04-25,2025-10-02
12,SKU-000012,Ultra Dispositivo 12,Descripción detallada del producto 12,7,9,2,394.35,260.27,47.9,true,2022-06-07,2025-10-23
13,SKU-000013,Premium Herramienta 13,Descripción detallada del producto 13,1,12,4,98.71,39.48,20.1,false,2022-03-27,2025-10-22
14,SKU-000014,Premium Set 14,Descripción detallada del producto 14,5,4,5,495.44,227.9,22,true,2022-11-06,2025-09-25
15,SKU-000015,Pro Artículo 15,Descripción detallada del producto 15,10,2,8,42.15,18.12,29.9,true,2023-10-30,2026-02-09
16,SKU-000016,Mega Kit 16,Descripción detallada del producto 16,5,12,4,487.95,341.57,47.5,true,2023-08-25,2025-11-26
17,SKU-000017,Premium Kit 17,Descripción detallada del producto 17,7,5,5,499.02,209.59,41.8,true,2023-01-20,2024-04-04
18,SKU-000018,Básico Kit 18,Descripción detallada del producto 18,10,2,4,199.05,101.52,13.4,true,2022-09-27,2024-12-01
19,SKU-000019,Elite Equipo 19,Descripción detallada del producto 19,3,9,4,206.82,117.89,24.9,false,2022-09-02,2025-07-07
20,SKU-000020,Mega Producto 20,Descripción detallada del producto 20,2,14,2,214.09,92.06,26.5,true,2022-10-30,2024-09-27
21,SKU-000021,Básico Pack 21,Descripción detallada del producto 21,5,2,7,87.73,50.01,48,true,2023-04-22,2024-11-25
22,SKU-000022,Mini Equipo 22,Descripción detallada del producto 22,2,13,1,121.22,55.76,29,true,2022-04-25,2024-01-18
23,SKU-000023,Premium Widget 23,Descripción detallada del producto 23,1,11,2,204.87,122.92,10.9,true,2022-12-10,2024-11-16
24,SKU-000024,Ultra Gadget 24,Descripción detallada del producto 24,8,12,1,228.44,118.79,13.9,false,2022-11-26,2025-08-25
25,SKU-000025,Mega Set 25,Descripción detallada del producto 25,2,2,7,319.47,159.74,0.8,true,2023-10-12,2026-01-16
26,SKU-000026,Smart Set 26,Descripción detallada del producto 26,2,10,4,361.25,198.69,41.4,true,2023-01-25,2024-01-10
27,SKU-000027,Ultra Gadget 27,Descripción detallada del producto 27,10,5,1,8.97,5.83,42.2,true,2023-06-07,2025-07-26
28,SKU-000028,Elite Kit 28,Descripción detallada del producto 28,6,1,2,26.13,11.76,35.1,true,2023-03-15,2025-06-13
29,SKU-000029,Básico Kit 29,Descripción detallada del producto 29,7,7,6,122.75,85.93,2.2,true,2023-04-21,2025-03-11
30,SKU-000030,Mini Herramienta 30,Descripción detallada del producto 30,4,7,6,247.46,108.88,16.6,true,2022-06-24,2026-01-31
31,SKU-000031,Smart Producto 31,Descripción detallada del producto 31,8,10,7,446.21,298.96,9.9,true,2023-03-23,2025-10-19
32,SKU-000032,Mini Kit 32,Descripción detallada del producto 32,1,10,8,265.19,182.98,8.3,true,2023-06-28,2025-12-02
33,SKU-000033,Mini Dispositivo 33,Descripción detallada del producto 33,1,10,3,459.01,257.05,29,true,2022-10-26,2024-08-07
34,SKU-000034,Mega Artículo 34,Descripción detallada del producto 34,7,10,8,65.17,39.75,24.4,true,2023-09-30,2024-06-08
35,SKU-000035,Mega Equipo 35,Descripción detallada del producto 35,5,3,2,181.78,114.52,31.7,true,2023-03-16,2026-03-01
36,SKU-000036,Mini Artículo 36,Descripción detallada del producto 36,7,9,2,190.25,89.42,33.2,true,2022-07-28,2024-05-07
37,SKU-000037,Mega Widget 37,Descripción detallada del producto 37,5,12,8,223.91,91.8,15.7,true,2023-12-24,2024-07-02
38,SKU-000038,Premium Pack 38,Descripción detallada del producto 38,2,12,6,82.49,52.79,17.2,true,2023-10-16,2024-08-16
39,SKU-000039,Básico Artículo 39,Descripción detallada del producto 39,9,13,1,410.97,197.27,27.9,true,2023-06-09,2025-07-05
40,SKU-000040,Ultra Kit 40,Descripción detallada del producto 40,9,15,6,145.08,84.15,47.1,true,2022-05-03,2025-12-12
41,SKU-000041,Premium Gadget 41,Descripción detallada del producto 41,8,5,2,251.29,173.39,11.4,true,2022-05-23,2025-03-02
42,SKU-000042,Mini Producto 42,Descripción detallada del producto 42,4,11,8,249.67,104.86,17.5,false,2023-03-13,2024-08-22
43,SKU-000043,Super Kit 43,Descripción detallada del producto 43,3,5,4,57.98,39.43,47.7,true,2023-04-25,2025-07-17
44,SKU-000044,Super Artículo 44,Descripción detallada del producto 44,1,11,7,294.75,170.96,7.4,true,2023-06-29,2026-02-16
45,SKU-000045,Super Herramienta 45,Descripción detallada del producto 45,2,7,3,429.34,291.95,18.6,false,2022-07-11,2025-02-14
46,SKU-000046,Ultra Kit 46,Descripción detallada del producto 46,8,11,7,485.84,228.34,10.3,true,2023-11-27,2025-02-17
47,SKU-000047,Básico Gadget 47,Descripción detallada del producto 47,1,5,5,65.45,45.82,48.4,true,2023-10-01,2025-08-06
48,SKU-000048,Mini Widget 48,Descripción detallada del producto 48,10,8,8,126.34,75.8,22.7,true,2022-06-21,2025-12-04
49,SKU-000049,Premium Herramienta 49,Descripción detallada del producto 49,8,15,4,197.37,92.76,4.6,true,2023-06-30,2024-02-16
50,SKU-000050,Smart Pack 50,Descripción detallada del producto 50,2,5,4,256.6,112.9,6.5,false,2023-10-15,2025-07-31
51,SKU-000051,Ultra Herramienta 51,Descripción detallada del producto 51,5,15,1,127.95,78.05,41.2,true,2022-03-23,2025-11-02
52,SKU-000052,Ultra Set 52,Descripción detallada del producto 52,7,3,2,414.41,285.94,30.2,true,2023-10-15,2025-09-12
53,SKU-000053,Básico Dispositivo 53,Descripción detallada del producto 53,2,4,2,455.07,291.24,21.7,true,2023-09-05,2025-11-28
54,SKU-000054,Pro Set 54,Descripción detallada del producto 54,5,12,8,459.91,193.16,2.7,true,2023-05-12,2024-11-29
55,SKU-000055,Ultra Set 55,Descripción detallada del producto 55,8,10,7,496.09,253.01,35.3,true,2022-10-30,2024-08-18
56,SKU-000056,Elite Herramienta 56,Descripción detallada del producto 56,5,1,2,381.01,228.61,33.3,true,2022-04-30,2025-11-28
57,SKU-000057,Elite Herramienta 57,Descripción detallada del producto 57,4,2,1,432.11,194.45,2.9,true,2022-03-01,2025-04-30
58,SKU-000058,Max Producto 58,Descripción detallada del producto 58,8,7,8,378.54,200.63,42.4,false,2022-09-07,2024-01-13
59,SKU-000059,Elite Set 59,Descripción detallada del producto 59,5,14,5,239.18,165.03,26.1,true,2023-11-05,2024-12-18
60,SKU-000060,Básico Set 60,Descripción detallada del producto 60,3,9,2,481.64,317.88,49,true,2023-12-05,2026-02-20
61,SKU-000061,Max Pack 61,Descripción detallada del producto 61,2,13,8,149.63,103.24,45.4,true,2022-01-09,2025-09-28
62,SKU-000062,Pro Herramienta 62,Descripción detallada del producto 62,8,14,7,469.91,249.05,31.6,true,2022-06-26,2024-05-08
63,SKU-000063,Ultra Equipo 63,Descripción detallada del producto 63,10,2,7,41.66,24.58,49,true,2023-03-09,2025-05-12
64,SKU-000064,Mega Gadget 64,Descripción detallada del producto 64,2,7,6,22.7,15.44,13.9,true,2022-05-18,2026-02-19
65,SKU-000065,Mega Widget 65,Descripción detallada del producto 65,5,13,3,493.42,197.37,34.4,true,2023-06-10,2025-05-01
66,SKU-000066,Max Artículo 66,Descripción detallada del producto 66,4,2,5,466.87,261.45,22,false,2022-01-14,2024-09-27
67,SKU-000067,Smart Gadget 67,Descripción detallada del producto 67,6,13,3,279.8,148.29,17.9,true,2022-12-01,2024-11-13
68,SKU-000068,Max Pack 68,Descripción detallada del producto 68,4,5,2,490.52,201.11,35.5,true,2022-04-21,2025-10-06
69,SKU-000069,Básico Gadget 69,Descripción detallada del producto 69,9,5,8,260.37,171.84,41.4,false,2023-01-03,2026-01-27
70,SKU-000070,Básico Kit 70,Descripción detallada del producto 70,7,14,1,247.5,160.88,45.4,true,2023-09-02,2024-07-03
71,SKU-000071,Premium Kit 71,Descripción detallada del producto 71,3,6,6,196.37,119.79,9.8,true,2022-03-18,2024-09-05
72,SKU-000072,Super Herramienta 72,Descripción detallada del producto 72,3,13,4,101.64,70.13,44.5,true,2022-05-08,2024-06-11
73,SKU-000073,Mega Artículo 73,Descripción detallada del producto 73,4,2,8,460.36,303.84,6.7,true,2023-01-14,2025-06-04
74,SKU-000074,Elite Kit 74,Descripción detallada del producto 74,7,6,1,391.88,184.18,1,false,2023-02-28,2025-03-11
75,SKU-000075,Elite Herramienta 75,Descripción detallada del producto 75,1,5,8,237.54,99.77,24.5,true,2022-03-06,2025-09-01
76,SKU-000076,Elite Producto 76,Descripción detallada del producto 76,6,14,2,185.72,87.29,16,true,2023-04-30,2024-08-27
77,SKU-000077,Super Artículo 77,Descripción detallada del producto 77,5,7,8,313.4,188.04,32.1,false,2022-03-03,2024-11-29
78,SKU-000078,Pro Producto 78,Descripción detallada del producto 78,3,1,5,133.01,53.2,7.8,true,2023-02-26,2025-08-31
79,SKU-000079,Smart Herramienta 79,Descripción detallada del producto 79,9,15,7,220.8,117.02,1.2,true,2022-06-10,2024-05-20
80,SKU-000080,Mini Equipo 80,Descripción detallada del producto 80,5,1,4,255.23,104.64,45.1,true,2023-08-08,2025-03-27
81,SKU-000081,Max Pack 81,Descripción detallada del producto 81,8,4,2,27.4,15.07,37.1,true,2022-01-21,2026-01-18
82,SKU-000082,Super Pack 82,Descripción detallada del producto 82,10,9,1,152.01,77.53,48.1,true,2023-02-01,2025-01-25
83,SKU-000083,Max Artículo 83,Descripción detallada del producto 83,3,11,4,453.59,204.12,16.7,true,2022-07-17,2025-04-27
84,SKU-000084,Elite Kit 84,Descripción detallada del producto 84,9,5,5,196.83,114.16,20.9,false,2023-08-12,2024-04-27
85,SKU-000085,Básico Dispositivo 85,Descripción detallada del producto 85,5,9,5,249.59,132.28,0.2,true,2022-03-12,2024-10-02
86,SKU-000086,Mini Artículo 86,Descripción detallada del producto 86,10,10,2,366.69,234.68,3.2,true,2022-07-31,2025-04-07
87,SKU-000087,Super Widget 87,Descripción detallada del producto 87,3,12,1,324.88,129.95,8.7,true,2023-03-18,2024-09-12
88,SKU-000088,Premium Kit 88,Descripción detallada del producto 88,9,12,2,41.45,16.58,23.3,true,2023-09-14,2024-11-10
89,SKU-000089,Max Equipo 89,Descripción detallada del producto 89,10,5,4,173.6,88.54,22.3,false,2022-01-03,2024-05-29
90,SKU-000090,Max Dispositivo 90,Descripción detallada del producto 90,3,4,6,11.29,4.97,22.1,true,2022-07-19,2024-05-22
91,SKU-000091,Mega Set 91,Descripción detallada del producto 91,1,1,3,214.26,100.7,15.7,true,2022-08-06,2025-02-10
92,SKU-000092,Super Dispositivo 92,Descripción detallada del producto 92,4,6,5,145.26,74.08,41.5,true,2023-03-12,2024-05-19
93,SKU-000093,Max Set 93,Descripción detallada del producto 93,1,2,2,364.35,200.39,1.8,true,2023-10-03,2026-02-08
94,SKU-000094,Mini Producto 94,Descripción detallada del producto 94,4,5,2,472.99,231.77,29.7,true,2022-06-09,2024-08-03
95,SKU-000095,Mini Gadget 95,Descripción detallada del producto 95,3,5,1,155.73,77.87,31.9,true,2022-12-10,2024-05-31
96,SKU-000096,Mega Producto 96,Descripción detallada del producto 96,7,14,4,92.95,45.55,47.1,true,2023-09-10,2025-06-13
97,SKU-000097,Premium Set 97,Descripción detallada del producto 97,5,11,3,341.06,211.46,23.6,true,2022-02-23,2025-09-25
98,SKU-000098,Ultra Producto 98,Descripción detallada del producto 98,2,6,5,41.41,27.33,41.1,true,2023-03-14,2025-07-04
99,SKU-000099,Pro Artículo 99,Descripción detallada del producto 99,1,10,3,99.76,57.86,2.1,true,2022-11-03,2025-05-29
100,SKU-000100,Mega Dispositivo 100,Descripción detallada del producto 100,9,4,7,495.45,247.73,25.3,true,2022-12-07,2024-02-24